Feature,Mean_SHAP,Std_SHAP,Max_SHAP,Min_SHAP,Abs_Mean_SHAP,Positive_Count,Negative_Count,Zero_Count,Mean_Original_Value,Std_Original_Value,Correlation_SHAP_Original
Roadway Type,-0.10878397987483404,0.1113092029368566,0.04909891269735798,-0.30288647214108705,0.13064060032258124,53,129,0,0.11481425038069029,0.8843549856174646,0.11318749640093556
Incident Time (24:00),0.09577763137266018,0.1002919601015295,0.23150165841723117,-0.03901364648228376,0.11504863790717565,129,53,0,-0.06653077033487001,0.9218370333806025,-0.07681928487023121
Weather - Rain,0.06318221568621472,0.05532866818783129,0.1644677773869248,0.03149913873218695,0.06318221568621472,182,0,0,0.052126237303963006,1.1342451287918085,0.02960497925669107
SV Contact Area - Front Left,0.05654821011201121,0.01222767854383206,0.08083812632886227,0.04487315698489258,0.05654821011201121,182,0,0,-0.076852779177461,0.9430943309224034,0.1208844390810006
SV Contact Area - Rear Left,-0.05369290462391936,0.0026404326702081362,-0.04457231719155834,-0.055672173405763394,0.05369290462391936,0,182,0,0.2928412257352521,1.2334903800981603,-0.12243778592907263
Weather - Clear,-0.04502578868277084,0.05020257016972362,-0.013736796343938417,-0.13873280047298875,0.04502578868277084,0,182,0,0.3270377844237771,0.9083657984269529,0.5967111550080249
CP Pre-Crash Movement,-0.013573388575079474,0.011567178309438722,0.023759084035627504,-0.020473147740234846,0.017625946491489627,16,166,0,-0.46011856501115556,1.1718967856633768,0.3029900623124447
Lighting,0.010707195202809808,0.011099971296345589,0.06288542131381962,-0.01202652427938106,0.01286033103522266,129,53,0,-0.4872889481800004,1.05938166968004,0.36914655252148687
SV Contact Area - Rear,0.00633395181365843,0.011530728159853884,0.010181793141720647,-0.031002205434381015,0.011749662054050317,166,16,0,0.07454667100850364,1.0460836239242313,0.08952430171397173
State,-0.011623670906729076,0.004505401637723763,-0.007826031221309511,-0.021070229278901717,0.011623670906729076,0,182,0,-0.18899667641194293,0.9216767318768969,-0.5921060071174395
SV Contact Area - Right,0.0001489212335480789,0.01178882643614527,0.008905278441958226,-0.022556480650189174,0.009959208607160566,140,42,0,0.03353044204131122,1.0527719917845304,0.030519655130446383
SV Contact Area - Front,0.008822030668785041,0.007136829825081544,0.020895853290417214,0.00023825109404055896,0.008822030668785041,182,0,0,-0.29710549222613797,0.7688798469034143,0.009455410634041274
Crash With,-0.006285254279134436,0.00976405639405159,0.009622680117945844,-0.024903070372570897,0.008536942872948863,56,126,0,-0.0023847047525229993,0.9132070768051613,0.15915671479502747
SV Contact Area - Rear Right,0.006410321549776232,0.0011081580908562465,0.011428493634491308,0.0050932448940152406,0.006410321549776232,182,0,0,0.11818109400305771,1.0951871268897222,-0.10313466448245023
CP Any Air Bags Deployed?,-0.00573875785761233,0.0011169870258330155,-0.005055736530588507,-0.010413195344691296,0.00573875785761233,0,182,0,-0.6567962296174437,1.0962186000990946,-0.4365208913275417
CP Was Vehicle Towed?,-0.0029920604336035545,0.003913543497322819,0.0033240505267992542,-0.005485340296200351,0.004815001367071758,52,130,0,-0.5833042223301397,1.0934209254322562,0.3332272043214553
