Feature,Mean_SHAP,Std_SHAP,Max_SHAP,Min_SHAP,Abs_Mean_SHAP,Positive_Count,Negative_Count,Zero_Count,Mean_Original_Value,Std_Original_Value,Correlation_SHAP_Original
SV Contact Area - Rear,-0.10000379885528245,1.275946735618772,1.4954879072735774,-2.5282463723862727,1.1719678800262014,102,80,0,0.07454667100850364,1.0460836239242313,-0.030304270351711383
CP Was Vehicle Towed?,-0.12479049589166448,0.8769382163545452,1.261770569571277,-0.6794149220768412,0.8458022499323944,52,130,0,-0.5833042223301397,1.0934209254322562,0.33515542606816545
Automation System Engaged?,-0.19514966431950045,0.825456373464818,1.9084460986033613,-0.7548890586276706,0.7657911723207317,44,138,0,0.18955485860012014,0.6438174340313502,-0.028046747453440546
Posted Speed Limit (MPH),0.5421839979051378,0.9323501291939466,2.697052695697624,-0.3958976434051558,0.7292565107229589,139,43,0,-0.2925310098216037,0.7420999559670218,-0.2681914621539353
SV Was Vehicle Towed?,0.0840267611549337,1.4004460192488895,0.36411596500471166,-6.9182033350895145,0.6161962484695118,175,7,0,-0.3998746967941874,1.074851134793047,0.07175353405644977
SV Contact Area - Left,-0.2023496968390159,0.6400178631019536,1.989933275290263,-1.6755079997666527,0.5518713384671953,36,146,0,-0.08267229477732486,0.8856975346681409,-0.049040345374764704
Mileage,-0.07355667680161015,0.5169036351243507,0.7437397321051705,-0.4004752403643224,0.4985508094331361,52,130,0,-0.10554703689078958,0.9302656506844957,-0.050727936765463985
Lighting,-0.3267487936939727,0.5618835694000748,0.23858888847463594,-1.6253868027334575,0.43948859813803154,43,139,0,-0.4872889481800004,1.05938166968004,0.5137757035953654
Model Year,0.06190910444816535,0.43505283990547666,0.3370606797733452,-0.6259698338647842,0.41960615237089915,130,52,0,0.23030847380054378,0.7802595756419157,-0.03485327855791969
SV Any Air Bags Deployed?,-0.10667500283381325,0.45122066330784694,1.0432172337400745,-0.41264632839173465,0.4186057698960654,44,138,0,-0.6390602730227658,0.728583271539006,0.3100151653951024
Driver / Operator Type,-0.25281672129738586,0.4347485423301791,0.18460438626328673,-1.2576173814186409,0.340047365355862,43,139,0,0.896782582127725,1.4678938697243522,-0.9999999999999999
Weather - Cloudy,0.006955969684899176,0.3580479961394668,0.49724557206382436,-0.6370842669748176,0.31247098603328555,94,88,0,0.17620842136635034,1.3037186597738784,-0.22285966388737974
CP Pre-Crash Movement,0.025152382138054326,0.32091880757978924,0.6358900324320039,-0.3761365443828564,0.2947666419612954,80,102,0,-0.46011856501115556,1.1718967856633768,0.04063741418119588
SV Contact Area - Rear Right,0.0646142071502271,0.273309253667014,0.24994436029236977,-0.6318880023708973,0.2535540586999749,138,44,0,0.11818109400305771,1.0951871268897222,0.2311177005474404
SV Contact Area - Front Left,0.08491118732549836,0.2685681150723458,0.7030866655893385,-0.8350276760623965,0.23157954438371178,146,36,0,-0.076852779177461,0.9430943309224034,-0.31233055598197734
SV Contact Area - Rear Left,-0.0847041545861013,0.2679132850749159,0.832991689136612,-0.7013723807819374,0.23101490091360816,36,146,0,0.2928412257352521,1.2334903800981603,-0.0404582252896995
SV Contact Area - Right,0.0846712825662575,0.26780931318751044,0.7011001919273104,-0.8326684214118021,0.230925248564864,146,36,0,0.03353044204131122,1.0527719917845304,-0.0043591418110901815
ADS Equipped?,0.03366353387863409,0.2365632025482802,0.18327924000589685,-0.3403757314395228,0.22816395184407576,130,52,0,0.7874174420167702,0.8654829412947238,0.6062177826491074
Roadway Type,0.1579538295603724,0.2716204719547225,0.7857292053206288,-0.11533639711128496,0.21245344577779277,139,43,0,0.11481425038069029,0.8843549856174646,-0.010801249287891144
Roadway Description,0.10946275924097922,0.26455382168310076,0.46967910841316035,-0.26419449848240273,0.20655988261485378,68,114,0,-0.5890108654922156,0.7966401806534067,-0.5172727994295981
SV Pre-Crash Movement,-0.10054675116862406,0.24300526922512578,0.2426752137733885,-0.43142260226380164,0.18973507759816002,114,68,0,-0.05882174844024642,1.013055444975498,0.13584473166850702
Roadway Surface,-0.10002936037007498,0.24175481917244168,0.24142646211127147,-0.42920259930892696,0.18875874388105512,114,68,0,-0.4044515266061722,0.8975902648648528,0.3527651805664756
Weather - Rain,-0.004024241784295022,0.20714174617171724,0.3685727861699539,-0.2876718126732215,0.18077404809639278,88,94,0,0.052126237303963006,1.1342451287918085,0.06089635538934556
CP Any Air Bags Deployed?,-0.03630454093286527,0.15356323979981065,0.3550365292531501,-0.1404352952606224,0.14246346289393425,44,138,0,-0.6567962296174437,1.0962186000990946,0.29301927894309854
SV Precrash Speed (MPH),-0.009724421278038334,0.12407372247378713,0.14542201989331752,-0.2458479887882543,0.11396276461653913,102,80,0,-0.29106821429703245,0.8176140164869915,0.17043294720505964
Crash With,-0.009425797278378653,0.12026358404000037,0.14095630373628437,-0.23829832515057944,0.1104631202049047,102,80,0,-0.0023847047525229993,0.9132070768051613,-0.11550540829536611
Weather - Clear,0.0023669527682590287,0.12183530607842094,0.1692009650151418,-0.21678478165365586,0.10632652223855017,94,88,0,0.3270377844237771,0.9083657984269529,-0.13102781607633543
Weather - Severe Wind,-0.052278802398701,0.12634942754498288,0.1261778167913639,-0.2243161187402024,0.09865184617672364,114,68,0,0.0,0.0,
SV Were All Passengers Belted?,0.023556690392596044,0.09964157658232155,0.09112333293966815,-0.2303702342124135,0.09243933682718629,138,44,0,-0.0963673856978092,1.5297682518749254,-0.02238466606266847
Weather - Fog/Smoke,-0.03738412587879289,0.0903513984125319,0.09022868102573102,-0.160406544045744,0.07054509411901883,114,68,0,0.0,0.0,
SV Contact Area - Front Right,0.020608698016474428,0.06518386274782013,0.17064536755322754,-0.20266862063063681,0.056206408687957204,146,36,0,-0.09140234051770403,0.9334058705445899,-0.1454774524662484
Make,0.007103134051899642,0.04991573806556354,0.038672618727009236,-0.07182057763587434,0.04814346412954212,130,52,0,-0.40734503897592056,0.804743228411177,-0.04211073903621913
State,-0.0008294361491905536,0.04269396857608901,0.0759665071940488,-0.059292014079651637,0.03725932445506049,88,94,0,-0.18899667641194293,0.9216767318768969,-0.0851870329076382
Weather - Snow,0.0006688901592632645,0.0344301070893888,0.04781542832378596,-0.06126239993915135,0.030047394839384383,94,88,0,-0.028306925853614887,3.469446951953614e-18,7.751371033287142e-17
Incident Time (24:00),-0.006793962989905269,0.01168303066090369,0.004960887719810466,-0.0337960475912088,0.009138118725639884,43,139,0,-0.06653077033487001,0.9218370333806025,-0.03737344279166693
SV Contact Area - Front,-0.00011789707980482526,0.0015042467970006173,0.001763069595047396,-0.0029806154140487374,0.0013816634194076158,102,80,0,-0.29710549222613797,0.7688798469034143,0.11180113079380319
